TOP	SUBTOP	Headword	Definition	SOUND
TIME	"Weeks, Months, and Seasons"	suxulhnet 	"Sunday, week"	06kuktala.wav
TIME	"Weeks, Months, and Seasons"	sil'wulhnet 	Monday	MONDAY.WAV	Larafriends.jpg
TIME	"Weeks, Months, and Seasons"	sthumunts 	Tuesday (second day of the week)	
TIME	"Weeks, Months, and Seasons"	slhihws 	Wednesday; third	WEDNESDAY.wav
TIME	"Weeks, Months, and Seasons"	sxu'athuns 	Thursday		Larafriends.jpg
TIME	"Weeks, Months, and Seasons"	slhq'etsuss 	Friday	
TIME	"Weeks, Months, and Seasons"	t'aqw'tum' 	Saturday	SAT.WAV
TIME	"Weeks, Months, and Seasons"	tth'ul'xwumutsun 	January	January.wav
TIME	"Weeks, Months, and Seasons"	pune'q 	January; geoduck (gooeyduck) clam (gathered in January)	
TIME	"Weeks, Months, and Seasons"	mim'ne' 	February	february1.wav
TIME	"Weeks, Months, and Seasons"	wulhxus 	March (when frogs start croaking)	MARCH.WAV
TIME	"Weeks, Months, and Seasons"	liimus 	April	April.wav	Larafriends.jpg
TIME	"Weeks, Months, and Seasons"	punhwemun 	May	
TIME	"Weeks, Months, and Seasons"	qw'i'lus 	June	
TIME	"Weeks, Months, and Seasons"	tum'qw'i'lus 	July	
TIME	"Weeks, Months, and Seasons"	tum'qwe'unhw 	August (mosquito month)	
TIME	"Weeks, Months, and Seasons"	p'uq'ulenhw 	September	
TIME	"Weeks, Months, and Seasons"	hwisulenhw 	October	
TIME	"Weeks, Months, and Seasons"	lu'ultsuptun 	"month for gathering wood, November"	
TIME	"Weeks, Months, and Seasons"	suyum 	December	
TIME	"Weeks, Months, and Seasons"	yuqw'iqw'ul'us 	spring (springtime)	
TIME	"Weeks, Months, and Seasons"	tum'qw'i'lus 	spring (time of ripening)	
TIME	"Weeks, Months, and Seasons"	tun'peenhw 	season when camas blooms	
TIME	"Weeks, Months, and Seasons"	tum'kw'e'lus 	summer	
TIME	"Weeks, Months, and Seasons"	qw'i'lus 	summer	
TIME	"Weeks, Months, and Seasons"	qw'i'qw'ul'as 	summer: during the summer	
TIME	"Weeks, Months, and Seasons"	yuxay'tl'thut 	"fall; autumn: cold (getting cold, of weather)"	
TIME	"Weeks, Months, and Seasons"	tun'sliim 	time in the fall when wild geese move in formation	
TIME	"Weeks, Months, and Seasons"	tum'xuytl' 	winter	
TIME	"Weeks, Months, and Seasons"	sil'anum 	year	YEAR.WAV
TIME	"Weeks, Months, and Seasons"	tun'tqey'un 	month you set weirs	
TIME	Other	skweyul 	day	
TIME	Other	tl'umqun 	whole day	
TIME	Other	netulh 	morning	
TIME	Other	tth'ekw'ul 	dawn; daybreak	
TIME	Other	yutth'etth'ukw'ul' 	dawn; getting daylight	
TIME	Other	yuhwkwekwiyul' 	"daybreak; beginning of daybreak, dawn"	
TIME	Other	q'ilt 	morning (mid-morning)	LATEMORN.WAV
TIME	Other	yuq'iq'ul't 	midmorning: getting toward midmorning	
TIME	Other	yuhwun'nut 	evening: dusk	
TIME	Other	hwune'unt 	"evening, become evening"	
TIME	Other	snet 	night (noun)	
TIME	Other	net 	night; be night	
TIME	Other	kweyel 	"tomorrow, daylight"	DAY.WAV
TIME	Other	tsul'equlh 	yesterday	YESTDAY.WAV
TIME	Other	lhuw'ulhne' 	day before yesterday	DAYBF.WAV
TIME	Other	hith 	late	LONGTIME.WAV
TIME	Other	hith 	long time	LONGTIME.WAV
TIME	Other	hithulh 	long time PAST	
TIME	Other	huy 	when; whenever	
TIME	Other	tahw 	"right now, later, then, there"	
TIME	Other	ts'uhwle' 	sometimes	SOMETIME.WAV
TIME	Other	qul'et 	again; next (time)	
TIME	Other	shkwan 	birthday	
Aquatic Life	Salt Water Mammals	qwunus 	whale*	WHALE 2.WAV
Aquatic Life	Salt Water Mammals	q'ullhanumutsun 	"killer whale, Orca *"	killer_whale.wav
Aquatic Life	Salt Water Mammals	kw'aant' 	"dolphin, porpoise*"	dolphin.wav
Aquatic Life	Salt Water Mammals	tumus 	otter: sea otter*	otter_sea.wav
Aquatic Life	Salt Water Mammals	xxx	seal *	bulrush mat.wav
