Super	TOP	SUBTOP	Headword	Definition	SOUND	
School	Time	"Weeks, Months, and Seasons"	suxulhnet 	"Sunday, week"	06kuktala.wav	
School	Time	"Weeks, Months, and Seasons"	sil'wulhnet 	Monday	MONDAY.WAV	Larafriends.jpg
School	Time	"Weeks, Months, and Seasons"	sthumunts 	Tuesday (second day of the week)		
School	Time	"Weeks, Months, and Seasons"	slhihws 	Wednesday; third	WEDNESDAY.wav	
School	Time	"Weeks, Months, and Seasons"	sxu'athuns 	Thursday		Larafriends.jpg
School	Time	"Weeks, Months, and Seasons"	slhq'etsuss 	Friday		
School	Time	"Weeks, Months, and Seasons"	t'aqw'tum' 	Saturday	SAT.WAV	
School	Time	"Weeks, Months, and Seasons"	tth'ul'xwumutsun 	January	January.wav	
School	Time	"Weeks, Months, and Seasons"	pune'q 	January; geoduck (gooeyduck) clam (gathered in January)		
School	Time	"Weeks, Months, and Seasons"	mim'ne' 	February	february1.wav	
School	Time	"Weeks, Months, and Seasons"	wulhxus 	March (when frogs start croaking)	MARCH.WAV	
School	Time	"Weeks, Months, and Seasons"	liimus 	April	April.wav	Larafriends.jpg
School	Time	"Weeks, Months, and Seasons"	punhwemun 	May		
School	Time	"Weeks, Months, and Seasons"	qw'i'lus 	June		
School	Time	"Weeks, Months, and Seasons"	tum'qw'i'lus 	July		
School	Time	"Weeks, Months, and Seasons"	tum'qwe'unhw 	August (mosquito month)		
School	Time	"Weeks, Months, and Seasons"	p'uq'ulenhw 	September		
School	Time	"Weeks, Months, and Seasons"	hwisulenhw 	October		
School	Time	"Weeks, Months, and Seasons"	lu'ultsuptun 	"month for gathering wood, November"		
School	Time	"Weeks, Months, and Seasons"	suyum 	December		
School	Time	"Weeks, Months, and Seasons"	yuqw'iqw'ul'us 	spring (springtime)		
School	Time	"Weeks, Months, and Seasons"	tum'qw'i'lus 	spring (time of ripening)		
School	Time	"Weeks, Months, and Seasons"	tun'peenhw 	season when camas blooms		
School	Time	"Weeks, Months, and Seasons"	tum'kw'e'lus 	summer		
School	Time	"Weeks, Months, and Seasons"	qw'i'lus 	summer		
School	Time	"Weeks, Months, and Seasons"	qw'i'qw'ul'as 	summer: during the summer		
School	Time	"Weeks, Months, and Seasons"	yuxay'tl'thut 	"fall; autumn: cold (getting cold, of weather)"		
School	Time	"Weeks, Months, and Seasons"	tun'sliim 	time in the fall when wild geese move in formation		
School	Time	"Weeks, Months, and Seasons"	tum'xuytl' 	winter		
School	Time	"Weeks, Months, and Seasons"	sil'anum 	year	YEAR.WAV	
School	Time	"Weeks, Months, and Seasons"	tun'tqey'un 	month you set weirs		
School	Time	Other	skweyul 	day		
School	Time	Other	tl'umqun 	whole day		
School	Time	Other	netulh 	morning		
School	Time	Other	tth'ekw'ul 	dawn; daybreak		
School	Time	Other	yutth'etth'ukw'ul' 	dawn; getting daylight		
School	Time	Other	yuhwkwekwiyul' 	"daybreak; beginning of daybreak, dawn"		
School	Time	Other	q'ilt 	morning (mid-morning)	LATEMORN.WAV	
School	Time	Other	yuq'iq'ul't 	midmorning: getting toward midmorning		
School	Time	Other	yuhwun'nut 	evening: dusk		
School	Time	Other	hwune'unt 	"evening, become evening"		
School	Time	Other	snet 	night (noun)		
School	Time	Other	net 	night; be night		
School	Time	Other	kweyel 	"tomorrow, daylight"	DAY.WAV	
School	Time	Other	tsul'equlh 	yesterday	YESTDAY.WAV	
School	Time	Other	lhuw'ulhne' 	day before yesterday	DAYBF.WAV	
School	Time	Other	hith 	late	LONGTIME.WAV	
School	Time	Other	hith 	long time	LONGTIME.WAV	
School	Time	Other	hithulh 	long time PAST		
School	Time	Other	huy 	when; whenever		
School	Time	Other	tahw 	"right now, later, then, there"		
School	Time	Other	ts'uhwle' 	sometimes	SOMETIME.WAV	
School	Time	Other	qul'et 	again; next (time)		
School	Time	Other	shkwan 	birthday		
Animals	Aquatic Life	Salt Water Mammals	qwunus 	whale*	WHALE 2.WAV	
Animals	Aquatic Life	Salt Water Mammals	q'ullhanumutsun 	"killer whale, Orca *"	killer_whale.wav	
Animals	Aquatic Life	Salt Water Mammals	kw'aant' 	"dolphin, porpoise*"	dolphin.wav	
Animals	Aquatic Life	Salt Water Mammals	*SPACE*	
Animals	Aquatic Life	Salt Water Mammals	tumus 	otter: sea otter*	otter_sea.wav	
Animals	Aquatic Life	Salt Water Mammals	xxx	seal *	bulrush mat.wav	
Animals	Aquatic Life	Salt Water Mammals	shes 	sealion 	sealion.wav	
Animals	Aquatic Life	Fish	stseelhtun 	fish (salmon)**  		
Animals	Aquatic Life	Fish	stseelhtun 	salmon		
Animals	Aquatic Life	Fish	the’wun 	"salmon: coho, silver"		
Animals	Aquatic Life	Fish	kw’a’luhw 	salmon: dog salmon*	dogsalmon.wav	
Animals	Aquatic Life	Fish	xil’e’ts 	"salmon: dog salmon, after spawning*with p "	dogsalmon_after_spawning.wav	
Animals	Aquatic Life	Fish	aan’ 	salmon: humpback (pinks)		
Animals	Aquatic Life	Fish	lhi’lhq’uw’s 	salmon: jack spring salmon** ??		
Animals	Aquatic Life	Fish	slhqul’exun’ 	salmon: side of wind-dried salmon		
Animals	Aquatic Life	Fish	thuqi’ 	salmon: sockeye; coho (smaller cohos which go up smaller streams)** 	salmon_sockeye.wav	
Animals	Aquatic Life	Fish	stth’aqwi’ 	salmon: spring salmon ** not loud enough. going to fix	salmon_spring.wav	
Animals	Aquatic Life	Fish	sine’uts 	"salmon: tyee, spring salmon after going upriver"		
Animals	Aquatic Life	Fish	t’emukw’ 	roe: salmon eggs **		
Animals	Aquatic Life	Fish	qwtaythun 	sturgeon?	STURGEON.WAV	
Animals	Aquatic Life	Fish	kw’suts 	trout		
Animals	Aquatic Life	Fish	kw’uli’kw’suts 	trouts: little trouts DIM		
Animals	Aquatic Life	Fish	’eyt 	"cod, lingcod*"	cod_lingcod.wav	
Animals	Aquatic Life	Fish	t’q’as 	"cod: rock cod, black sea bass*"	cod_rock.wav	
Animals	Aquatic Life	Fish	xxx	Tommy Cod *	bulrush mat.wav	
Animals	Aquatic Life	Fish	xuy’xuy’tl’ 	cod eggs (roe)*	"cod_eggs.wav, CODEGGS.WAV"	
Animals	Aquatic Life	Fish	tl’qw’ay’ 	milt		
Animals	Aquatic Life	Fish	slhewut’ 	herring*	herring.wav	
Animals	Aquatic Life	Fish	ts’um’ush 	roe: herring roe*	HERRINGR.WAV	
Animals	Aquatic Life	Fish	stsa’tx 	halibut*		
Animals	Aquatic Life	Fish	tuqwtuqw 	red snapper?need to find		
Animals	Aquatic Life	Fish	stsa’kwum 	smelt		
Animals	Aquatic Life	Fish	sxuw’q’um’ 	steelhead*need fixing 	"steelhe2.wav, steelhed.wav"	
Animals	Aquatic Life	Fish	skwun’ehw 	bullhead (sea and fresh water)*	bullhead_fish.wav	
Animals	Aquatic Life	Fish	kw’eets’ 	dogfish (shark)* DF2	dogfish 2.wav	
Animals	Aquatic Life	Fish	kw’uts’unulhtsu 	shark*	SHARK.WAV	
Animals	Aquatic Life	Fish	skw’e’ 	eel*	eel.wav	
Animals	Aquatic Life	Fish	sxuy’usa’qw 	fish head	FISHHEAD.WAV	
Animals	Aquatic Life	Fish	sxup’shun’ 	fish tail*	FISHTAIL.WAV	
Animals	Aquatic Life	Fish	q’utmun’ 	fin (fish fin)*need fixing		
Animals	Aquatic Life	Fish	shq'e'wutsun	dorsal fin ? 		
Animals	Aquatic Life	Fish	xxx	fish heart 1 * 	bulrush mat.wav	
Animals	Aquatic Life	Mollusks & Crustaceans	s’axwa’ 	butter clam*	butterclam.wav	
Animals	Aquatic Life	Mollusks & Crustaceans	skw’lhey’ 	littleneck clam*	clam_littleneck.wav	
Animals	Aquatic Life	Mollusks & Crustaceans	xxx	horse clam*	bulrush mat.wav	
Animals	Aquatic Life	Mollusks & Crustaceans	’ey’x 	crab*	"crab.wav, crab3.wav"	
Animals	Aquatic Life	Mollusks & Crustaceans	’eyuxal’lh 	"crab (little, immature crabs)"		
Animals	Aquatic Life	Mollusks & Crustaceans	musuqw 	crab (Snuneymuhw)	CRAB2.WAV	
Animals	Aquatic Life	Mollusks & Crustaceans	kwukwatl’shun 	crab: long-legged crab (edible in winter)	crab_longlegged.wav	
Animals	Aquatic Life	Mollusks & Crustaceans	smul’sh 	crab: soft-shelled crab	crab_softshelled.wav	
Animals	Aquatic Life	Mollusks & Crustaceans	ma’mul’ 	crayfish (sand crayfish)	"crayfish_mud_shrimp.wav, CRAYFISH.WAV"	
Animals	Aquatic Life	Mollusks & Crustaceans	kwun’eem’mun’ 	scallop*	scallop.wav	
Animals	Aquatic Life	Mollusks & Crustaceans	sweem 	horseclams*	clam_horseclam.wav	
Animals	Aquatic Life	Mollusks & Crustaceans	lhew’qum’ 	mussel*noise reduce 	MUSSEL.wav	
