H1	H2  - PURPLE	H3 - BLUE	word	eng
Me & My Family	Pronouns	Independent pronouns	’een’thu	I
Me & My Family	Pronouns	Independent pronouns	nuwu	you (referring to one person)
Me & My Family	Pronouns	Independent pronouns	lhnimulh	we
Me & My Family	Pronouns	Independent pronouns	lhwulup	you (referring to more than one person)
Me & My Family	Pronouns	Independent pronouns	nilh	he, she
Me & My Family	Pronouns	Independent pronouns	ne’ullh	they
Me & My Family	Pronouns	Subject pronouns 	tsun	I
Me & My Family	Pronouns	Subject pronouns 	ch	you
Me & My Family	Pronouns	Subject pronouns 	tst	we
Me & My Family	Pronouns	Subject pronouns 	tseep	you (you all)
Me & My Family	Pronouns	Subject pronouns 	us	he, she, they
Me & My Family	Body & Feelings	Head & face	sxuy’us	head
Me & My Family	Body & Feelings	Head & face	s’athus	face
Me & My Family	Body & Feelings	Head & face	sqw’umus	forehead
Me & My Family	Body & Feelings	Head & face	thamun	eyebrow
Me & My Family	Body & Feelings	Head & face	qulum'	eye
Me & My Family	Body & Feelings	Head & face	shp'q'eelh	white of eye
Me & My Family	Body & Feelings	Head & face	shq'xeelh	pupil (black of the eye)
Me & My Family	Body & Feelings	Head & face	muqsun	nose
Me & My Family	Body & Feelings	Head & face	*SPACE*
Me & My Family	Body & Feelings	Head & face	qw'oon'	ear
Me & My Family	Body & Feelings	Head & face	qw'un'qw'oon'	ears
Me & My Family	Body & Feelings	Head & face	shtl'pun'u	earlobe
Me & My Family	Body & Feelings	Head & face	*SPACE*
Me & My Family	Body & Feelings	Head & face	kwuy'hwulhnulh	neck (front part)
Me & My Family	Body & Feelings	Head & face	tupsum	neck (back of neck)
Me & My Family	Body & Feelings	Head & face	shhw'uthqun	throat
Me & My Family	Body & Feelings	Head & face	xwamlhnulh	throat, windpipe, trachea
Me & My Family	Body & Feelings	Head & face	*SPACE*
Me & My Family	Body & Feelings	Head & face	thathun	mouth
Me & My Family	Body & Feelings	Head & face	slhqwulnus	gums
Me & My Family	Body & Feelings	Head & face	tuhwthulh	tongue
Me & My Family	Body & Feelings	Head & face	yunus	tooth
Me & My Family	Body & Feelings	Head & face	huyinus	teeth
Me & My Family	Body & Feelings	Head & face	stslhaythun	lip: upper lip
Me & My Family	Body & Feelings	Head & face	stl'paythun	lip: lower lip
Me & My Family	Body & Feelings	Head & face	shhw'ii'nu	cheek of animal/human
Me & My Family	Body & Feelings	Head & face	shhw'un'ii'nu	cheeks
Me & My Family	Body & Feelings	Head & face	*SPACE*
Me & My Family	Body & Feelings	Head & face	ts'um'shaythun	jaw
Me & My Family	Body & Feelings	Head & face	sqwini'uthun	beard
Me & My Family	Body & Feelings	Head & face	*SPACE*
Me & My Family	Body & Feelings	Head & face	shkw'i'tth'ul'uqw	top of the head
Me & My Family	Body & Feelings	Head & face	she'itun	hair
Me & My Family	Body & Feelings	Head & face	st'qw'i'al's	bangs (hair bangs)
Me & My Family	Body & Feelings	Head & face	tskwi'ma'qw	red haired (redheaded)
Me & My Family	Body & Feelings	Arms & legs	*SPACE*
Me & My Family	Body & Feelings	Arms & legs	snuxtsus	finger
Me & My Family	Body & Feelings	Arms & legs	sun'tl'a'luw'tsus	thumb
Me & My Family	Body & Feelings	Arms & legs	tselush	hand
Me & My Family	Body & Feelings	Arms & legs	tsultselush	hands
Me & My Family	Body & Feelings	Arms & legs	su'asuqwta'luw'tsus	finger: little finger
Me & My Family	Body & Feelings	Arms & legs	qw'xwa'luw'tsus	fingernail
Me & My Family	Body & Feelings	Arms & legs	stth'ukwtsis	left hand
Me & My Family	Body & Feelings	Arms & legs	s'i'a'lum'tsus	right hand
Me & My Family	Body & Feelings	Arms & legs	shxathus	palm of hand; sole of foot
Me & My Family	Body & Feelings	Arms & legs	*SPACE*
Me & My Family	Body & Feelings	Arms & legs	t'eluw'	arm; wing
Me & My Family	Body & Feelings	Arms & legs	t'ult'eluw'	arms
Me & My Family	Body & Feelings	Arms & legs	qwum'xwtsus	wrist
Me & My Family	Body & Feelings	Arms & legs	kwum'tth'ulexun'	elbow
Me & My Family	Body & Feelings	Arms & legs	sqwuntsus	hair on arm
Me & My Family	Body & Feelings	Arms & legs	stth'kwu'iw's	left side, arm
Me & My Family	Body & Feelings	Arms & legs	s'i'a'lum'iw's	right side, right arm
Me & My Family	Body & Feelings	Arms & legs	*SPACE*
Me & My Family	Body & Feelings	Arms & legs	shqp'althutun	knee-cap
Me & My Family	Body & Feelings	Arms & legs	sq'ewum	knee
Me & My Family	Body & Feelings	Arms & legs	sq'uw'q'ewum	knees
Me & My Family	Body & Feelings	Arms & legs	q'etl'ul'shun	calf of leg
Me & My Family	Body & Feelings	Arms & legs	qwum'xwshun	ankle
Me & My Family	Body & Feelings	Arms & legs	stth'ukwshin'	left foot
Me & My Family	Body & Feelings	Arms & legs	s'i'a'luw'shun	right foot
Me & My Family	Body & Feelings	Arms & legs	sxun'u	foot, leg
Me & My Family	Body & Feelings	Arms & legs	sxuxi'nu	legs, feet
Me & My Family	Body & Feelings	Arms & legs	snuhwulhshun	foot
Me & My Family	Body & Feelings	Arms & legs	snuxshun	toe
Me & My Family	Body & Feelings	Arms & legs	qw'xwa'luw'shun	toenail
Me & My Family	Body & Feelings	Arms & legs	su'asuqwta'luw'shun	toe: little toe
Me & My Family	Body & Feelings	Arms & legs	sun'tl'a'luw'shun	toe: big toe
Me & My Family	Body & Feelings	Body core	smustimuhw	body
Me & My Family	Body & Feelings	Body core	kw'uluw'	skin (hide, fur, pelt, bark)
Me & My Family	Body & Feelings	Body core	shtth'utth'a'	skeleton
Me & My Family	Body & Feelings	Body core	ts'xemun	chest
Me & My Family	Body & Feelings	Body core	slhuq'we'lh	back
Me & My Family	Body & Feelings	Body core	qwuqw'ten	shoulder
Me & My Family	Body & Feelings	Body core	s’inus	breastbone, chest
Me & My Family	Body & Feelings	Body core	luwux	ribs (and on canoes and boats)
Me & My Family	Body & Feelings	Body core	qtewustun	waist, waistband or waistline
Me & My Family	Body & Feelings	Body core	slhulnuts	bottom
Me & My Family	Body & Feelings	Internal organs	tth’ele’	heart
Me & My Family	Body & Feelings	Internal organs	thethi'un	blood
Me & My Family	Body & Feelings	Internal organs	slhkw'emuws	pulse
Me & My Family	Body & Feelings	Internal organs	thunthun	kidney
Me & My Family	Body & Feelings	Internal organs	t'eqe'	liver (human)
Me & My Family	Body & Feelings	Internal organs	kw’ul’u	stomach (abdomen)
Me & My Family	Body & Feelings	Internal organs	xxx	bladder
Me & My Family	Body & Feelings	Internal organs	suxwa’	pee
Me & My Family	Body & Feelings	Internal organs	xxx	lung
Me & My Family	Body & Feelings	Internal organs	slhekw'um	breath
Me & My Family	Body & Feelings	Internal organs	q'uq'i'	intestines
Me & My Family	Body & Feelings	Internal organs	*SPACE*
Me & My Family	Body & Feelings	Feelings & Senses	shqwaluwun	feelings, thoughts
Me & My Family	Body & Feelings	Feelings & Senses	xtsuthut	think
Me & My Family	Body & Feelings	Feelings & Senses	sht’eewun’	think, believe, wonder
Me & My Family	Body & Feelings	Feelings & Senses	*SPACE*
Me & My Family	Body & Feelings	Feelings & Senses	si’si’	afraid
Me & My Family	Body & Feelings	Feelings & Senses	qiqul’us	sad
Me & My Family	Body & Feelings	Feelings & Senses	sqiqul’us	sad
Me & My Family	Body & Feelings	Feelings & Senses	tuqnuhw	feel bad about
Me & My Family	Body & Feelings	Feelings & Senses	suyum	hurt, get pains
Me & My Family	Body & Feelings	Feelings & Senses	sqwsun’e’	anchored; angry, bad mood
Me & My Family	Body & Feelings	Feelings & Senses	s’ey’qsta’mu	angry at you (and disagree with you)
